CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
MOTOR VEHICLE THEFT,01/12/2018 07:13:00 PM,18-002150,VEHICLE THEFT - AUTO,24X,2100 RANSOM AV,Oakland,CA,"2100 RANSOM AV
Oakland, CA
(37.782245, -122.213552)"
ROBBERY,11/24/2017 04:50:00 PM,17-061373,ATTEMPTED ROBBERY-FIREARM,32X,9800 INTERNATIONAL BLVD,Oakland,CA,"9800 INTERNATIONAL BLVD
Oakland, CA
(37.744037, -122.170181)"
VANDALISM,01/19/2018 09:30:00 AM,18-901690,VANDALISM,18Y,2300 21ST AV,Oakland,CA,"2300 21ST AV
Oakland, CA
(37.791751, -122.232675)"
THEFT/LARCENY,11/30/2017 06:45:00 PM,17-918859,BURGLARY-AUTO,09X,00 MONTELL ST,Oakland,CA,"00 MONTELL ST
Oakland, CA
"
FRAUD,01/14/2018 08:50:00 AM,18-901496,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,11X,600 55TH ST,Oakland,CA,"600 55TH ST
Oakland, CA
(37.840427, -122.264231)"
THEFT/LARCENY,11/28/2017 09:20:00 PM,17-918831,BURGLARY-AUTO,31X,200 HEGENBERGER ROAD,Oakland,CA,"200 HEGENBERGER ROAD
Oakland, CA
(37.731161, -122.199245)"
MOTOR VEHICLE THEFT,11/17/2017 09:00:00 PM,17-060324,VEHICLE THEFT - AUTO,77X,00 GLEN EDEN AV,Oakland,CA,"00 GLEN EDEN AV
Oakland, CA
"
THEFT/LARCENY,01/12/2018 06:02:00 AM,18-901386,BURGLARY-AUTO,04X,500 THOMAS L. BERKLEY WY,Oakland,CA,"500 THOMAS L. BERKLEY WY
Oakland, CA
(37.809581, -122.269628)"
THEFT/LARCENY,01/15/2018 07:40:00 AM,18-901517,GRAND THEFT,08X,500 40TH ST,Oakland,CA,"500 40TH ST
Oakland, CA
(37.82926, -122.264805)"
VANDALISM,01/19/2018 01:00:00 AM,18-901739,VANDALISM,03X,1200 HARRISON ST,Oakland,CA,"1200 HARRISON ST
Oakland, CA
(37.801537, -122.268463)"
THEFT/LARCENY,01/22/2018 10:00:00 PM,18-003996,BURGLARY-AUTO,05Y,1700 PERALTA ST,Oakland,CA,"1700 PERALTA ST
Oakland, CA
(37.813594, -122.292161)"
VANDALISM,12/02/2017 04:30:00 AM,17-919642,VANDALISM,20X,2700 E 10TH ST,Oakland,CA,"2700 E 10TH ST
Oakland, CA
(37.77801, -122.234621)"
VANDALISM,12/20/2017 04:06:00 AM,17-066024,VANDALISM:DAMAGE PROPERTY,23X,3900 WATTLING ST,Oakland,CA,"3900 WATTLING ST
Oakland, CA
(37.771202, -122.2209)"
THEFT/LARCENY,12/16/2017 05:00:00 PM,18-900163,BURGLARY-AUTO,04X,300 LAKESIDE DRIVE,Oakland,CA,"300 LAKESIDE DRIVE
Oakland, CA
(37.807705, -122.263592)"
THEFT/LARCENY,12/15/2017 06:35:00 PM,18-900222,THEFT,08X,3700 BROADWAY,Oakland,CA,"3700 BROADWAY
Oakland, CA
(37.824581, -122.258449)"
THEFT/LARCENY,01/05/2018 05:15:00 PM,18-901561,THEFT,08X,500 24TH ST,Oakland,CA,"500 24TH ST
Oakland, CA
(37.813849, -122.268181)"
ASSAULT,11/12/2017 09:28:00 AM,17-059271,BATTERY,33X,1000 86TH AVE,Oakland,CA,"1000 86TH AVE
Oakland, CA
(37.749604, -122.182867)"
ROBBERY,02/03/2018 06:07:00 PM,18-006169,CARJACKING WITH FIREARM,22X,2000 MACARTHUR BLVD,Oakland,CA,"2000 MACARTHUR BLVD
Oakland, CA
(37.80093, -122.218386)"
THEFT/LARCENY,01/14/2018 12:00:00 PM,18-901508,BURGLARY-AUTO,22Y,200 CRESTMONT DR,Oakland,CA,"200 CRESTMONT DR
Oakland, CA
(37.803791, -122.180569)"
VANDALISM,01/17/2018 08:20:00 PM,18-901698,VANDALISM,03X,800 WEBSTER ST,Oakland,CA,"800 WEBSTER ST
Oakland, CA
(37.799511, -122.271207)"
THEFT/LARCENY,11/24/2017 09:00:00 PM,17-918847,BURGLARY-AUTO,14Y,3400 GRAND AVE,Oakland,CA,"3400 GRAND AVE
Oakland, CA
(37.813831, -122.246486)"
VANDALISM,01/17/2018 10:00:00 PM,18-901764,VANDALISM,08X,2800 SUMMIT ST,Oakland,CA,"2800 SUMMIT ST
Oakland, CA
(37.81639, -122.264966)"
MOTOR VEHICLE THEFT,12/07/2017 05:35:00 PM,17-063773,VEHICLE THEFT - AUTO,34X,8300 HOLLY ST,Oakland,CA,"8300 HOLLY ST
Oakland, CA
(37.755957, -122.176905)"
THEFT/LARCENY,12/16/2017 08:32:00 PM,18-900187,GRAND THEFT,12X,5000 TELEGRAPH AVE,Oakland,CA,"5000 TELEGRAPH AVE
Oakland, CA
(37.83653, -122.262463)"
